best_epoch,bfs_frac,checkpoint,d,d_e,decoder_bias,e_wd,frac_seeds,grad_clip,gt_ari,gt_hungarian,gt_n_gt_clusters,gt_n_pred_clusters,gt_n_shared,gt_nmi,label_smoothing,label_smoothing_applied,label_smoothing_target,last_decoder_bias,last_epoch,last_gt_ari,last_gt_hungarian,last_gt_n_gt_clusters,last_gt_n_pred_clusters,last_gt_n_shared,last_gt_nmi,last_u_scale_value,last_val_auc,last_val_metric,likelihood,lr,max_abs_train_logit,max_iterations,max_k,method,name,phase,seed,skipped_updates,u_norm,u_scale,u_scale_init,u_scale_value,u_scale_value_max,val_auc,val_metric,val_native_ll,val_native_ll_name
36,1.0,best_val_metric,256,,-8.42125415802002,,,1.0,0.4403809712290958,23208.0,729.0,484.0,46479.0,0.8215752156129085,0.0,False,base_rate,-8.452415466308594,39,0.4497437493885156,23611.0,729.0,482.0,46479.0,0.8265461629331832,12.0,0.9796050068,-1.6829667002222357,bernoulli,0.03,15.147082328796387,,,lv,final_lv_d256_lr0.03_bfs1.0_bernoulli_unit_fixed12.0_seed0,final,0,0,unit,fixed,12.0,12.0,12.0,0.9785996076,-1.6655818941698481,-1.6655818941698481,heldout_bernoulli_ll
38,1.0,best_val_metric,256,,-8.478899955749512,,,1.0,0.5083033356772024,24623.0,729.0,452.0,46479.0,0.8291927505885555,0.0,False,base_rate,-8.501577377319336,39,0.5119899819856776,24771.0,729.0,451.0,46479.0,0.830841466417681,12.0,0.9796855328,-1.6758363020266047,bernoulli,0.03,15.66523265838623,,,lv,final_lv_d256_lr0.03_bfs1.0_bernoulli_unit_fixed12.0_seed1,final,1,0,unit,fixed,12.0,12.0,12.0,0.9793339904,-1.6616370836810137,-1.6616370836810137,heldout_bernoulli_ll
39,1.0,best_val_metric,256,,-8.477596282958984,,,1.0,0.5149466937004226,25069.0,729.0,388.0,46479.0,0.8156890298394902,0.0,False,base_rate,-8.477596282958984,39,0.5149466937004226,25069.0,729.0,388.0,46479.0,0.8156890298394902,12.0,0.980280144,-1.6284248602504914,bernoulli,0.03,15.229183197021484,,,lv,final_lv_d256_lr0.03_bfs1.0_bernoulli_unit_fixed12.0_seed2,final,2,0,unit,fixed,12.0,12.0,12.0,0.980280144,-1.6284248602504914,-1.6284248602504914,heldout_bernoulli_ll
,1.0,,64,16,,0.01,,,0.0389976219915439,5144.0,729.0,636.0,46479.0,0.3710037322381873,,,,,,,,,,,,,,,poisson,0.05,,,,lv_e,final_lv_e_d64_de16_lr0.05_ewd0.01_bfs1.0_poisson_seed0,final,0,,,,,,,,-1.2321208489324467,-1.806929761203579,heldout_poisson_ll
,1.0,,64,16,,0.01,,,0.04234145190160165,5189.0,729.0,633.0,46479.0,0.37483450101982213,,,,,,,,,,,,,,,poisson,0.05,,,,lv_e,final_lv_e_d64_de16_lr0.05_ewd0.01_bfs1.0_poisson_seed1,final,1,,,,,,,,-1.1943416775544533,-1.7534049944056629,heldout_poisson_ll
,1.0,,64,16,,0.01,,,0.04382316915977465,5316.0,729.0,630.0,46479.0,0.37300619612223146,,,,,,,,,,,,,,,poisson,0.05,,,,lv_e,final_lv_e_d64_de16_lr0.05_ewd0.01_bfs1.0_poisson_seed2,final,2,,,,,,,,-1.2199854084151762,-1.7651970677677757,heldout_poisson_ll
,,,32,,,,,,0.009490825447398845,1369.0,729.0,619.0,46479.0,0.21938296935761378,,,,,,,,,,,,,,,,0.01,,,,pca,final_pca_d32_lr0.01_seed0,final,0,,,,,,,,-1.4808068394068115,,
,,,32,,,,,,0.009829155730876792,1436.0,729.0,647.0,46479.0,0.2208214055720031,,,,,,,,,,,,,,,,0.01,,,,pca,final_pca_d32_lr0.01_seed1,final,1,,,,,,,,-5.363856484953641,,
,,,32,,,,,,0.005086079442208621,1260.0,729.0,632.0,46479.0,0.233977044436625,,,,,,,,,,,,,,,,0.01,,,,pca,final_pca_d32_lr0.01_seed2,final,2,,,,,,,,-4.243975088847388,,
,,,729,,,,0.1,,0.6798487686816337,30672.0,729.0,226.0,46479.0,0.8795012775473535,,,,,,,,,,,,,,,,0.0,,12,729,ntac,final_ntac_k729_R12_T0.1_seed0,final,0,,,,,,,,-0.48031294345855713,,
,,,729,,,,0.1,,0.671463776598717,30637.0,729.0,260.0,46479.0,0.8773271913096591,,,,,,,,,,,,,,,,0.0,,12,729,ntac,final_ntac_k729_R12_T0.1_seed1,final,1,,,,,,,,-0.482294,,
